empid,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,dept,salary
1107,0.91,1,4,257,5,0,1,0,accounting,medium
1108,0.44,0.5,2,148,3,0,1,0,accounting,medium
1109,0.71,0.87,3,177,4,0,1,0,hr,medium
1110,0.4,0.49,2,155,3,0,1,0,hr,medium
1111,0.43,0.47,2,144,3,0,1,0,hr,medium
1112,0.09,0.85,6,289,4,0,1,0,hr,high
1113,0.43,0.52,2,160,3,0,1,0,technical,low
1114,0.9,0.96,4,258,5,0,1,0,technicall,medium
1115,0.84,1,5,234,5,0,1,0,technical,medium
1116,0.37,0.48,2,137,3,0,1,0,technical,medium
1117,0.86,0.68,5,263,2,0,1,0,technical,medium
1118,0.11,0.84,6,251,4,0,1,0,technical,low
1119,0.37,0.57,2,133,3,0,1,0,technical,low
1120,0.4,0.46,2,132,3,0,1,0,technical,low
1121,0.14,0.62,4,158,4,1,1,0,technical,low
1122,0.4,0.46,2,135,3,0,1,0,technical,low
1123,0.75,1,4,216,6,0,1,0,technical,low
1124,0.11,0.84,6,300,5,1,1,0,support,low
1125,0.46,0.49,2,138,3,0,1,0,support,low
1126,0.11,0.92,6,260,4,0,1,0,support,low
1127,0.38,0.49,2,132,3,0,1,0,support,low
1128,0.7,0.89,3,183,5,0,1,0,support,low
1129,0.09,0.82,6,250,4,0,1,0,support,low
1130,0.37,0.45,2,151,3,0,1,0,support,low
1131,0.1,0.83,6,292,4,0,1,0,support,low
1132,0.38,0.57,2,140,3,0,1,0,support,low
1133,0.9,1,5,221,5,0,1,0,support,low
1134,0.44,0.51,2,138,3,0,1,0,support,low
1135,0.36,0.5,2,132,3,0,1,0,technical,low
1136,0.31,0.84,7,133,5,0,1,0,technical,low
1137,0.1,0.84,6,283,4,1,1,0,technical,low
1138,0.42,0.48,2,129,3,0,1,0,management,low
1139,0.74,1,4,249,5,0,1,0,IT,low
1140,0.73,0.87,5,257,5,0,1,0,IT,low
1141,0.09,0.96,6,245,4,0,1,0,IT,low
1142,0.45,0.53,2,155,3,0,1,0,IT,low
1143,0.11,0.8,6,256,4,0,1,0,IT,low
1144,0.37,0.47,2,152,3,0,1,0,product_mng,low
1145,0.84,0.99,4,267,5,0,1,0,product_mng,low
1146,0.41,0.46,2,151,3,0,1,0,product_mng,low
1147,0.76,0.92,4,239,5,0,1,0,product_mng,low
1148,0.11,0.87,6,306,4,0,1,0,iT,low
1149,0.84,0.88,4,263,5,1,1,0,marketing,low
1150,0.39,0.5,2,147,3,0,1,0,marketing,low
1151,0.11,0.91,6,278,4,0,1,0,marketing,low
1152,0.45,0.56,2,154,3,0,1,0,marketing,low
1153,0.37,0.52,2,143,3,0,1,0,marketing,low
1154,0.4,0.52,2,155,3,0,1,0,marketing,low
1155,0.39,0.48,2,160,3,0,1,0,sales,low
1156,0.11,0.8,6,304,4,0,1,0,accounting,low
1157,0.83,1,5,240,5,0,1,0,support,low
1158,0.11,0.92,6,305,4,0,1,0,technical,low
1159,0.39,0.5,2,136,3,0,1,0,management,low
1160,0.45,0.45,2,132,3,0,1,0,marketing,low
1161,0.1,0.95,7,301,4,0,1,0,marketing,low
1162,0.9,0.98,5,243,6,0,1,0,marketing,low
1163,0.45,0.51,2,147,3,0,1,0,sales,low
1164,0.79,0.89,5,239,5,0,1,0,sales,low
1165,0.9,0.99,5,260,5,0,1,0,sales,low
1166,0.11,0.84,7,296,4,0,1,0,sales,low
1167,0.43,0.55,2,129,3,0,1,0,sales,low
1168,0.31,0.54,5,132,5,0,1,0,sales,low
1169,0.32,0.5,2,135,5,0,1,0,sales,low
1170,0.45,0.57,2,158,3,0,1,0,sales,low
1171,0.81,0.99,4,259,5,0,1,0,sales,low
1172,0.41,0.46,2,160,3,0,1,1,sales,low
1173,0.11,0.78,7,278,4,0,1,0,sales,low
1174,0.1,0.88,6,284,4,0,1,0,sales,low
1175,0.7,0.53,2,274,4,0,1,0,sales,low
1176,0.54,0.74,4,164,2,0,1,0,sales,low
1177,0.41,0.48,2,148,3,0,1,0,sales,low
1178,0.38,0.5,2,140,3,0,1,0,sales,medium
1179,0.37,0.51,2,127,3,0,1,0,sales,medium
1180,0.11,0.85,6,308,5,0,1,0,sales,medium
1181,0.4,0.47,2,146,3,0,1,0,sales,medium
1182,0.1,0.84,6,261,4,0,1,0,accounting,medium
1183,0.89,0.99,5,257,5,0,1,0,accounting,medium
1184,0.11,0.8,6,285,4,0,1,0,accounting,medium
1185,0.36,0.55,2,141,3,0,1,0,hr,medium
1186,0.4,0.46,2,127,3,0,1,0,hr,medium
1187,0.09,0.85,6,297,4,0,1,0,hr,medium
1188,0.4,0.46,2,143,3,0,1,0,hr,medium
1189,0.37,0.55,2,152,3,0,1,0,technical,medium
1190,0.44,0.51,2,156,3,0,1,0,technical,high
1191,0.09,0.8,7,283,5,0,1,0,technical,low
1192,0.92,0.87,4,226,6,1,1,0,technical,medium
1193,0.74,0.91,4,232,5,0,1,0,technical,medium
1194,0.09,0.82,6,249,4,0,1,0,technical,medium
1195,0.89,0.95,4,275,5,0,1,0,technical,medium
1196,0.09,0.8,6,304,4,0,1,0,technical,low
1197,0.27,0.54,7,278,3,0,1,0,technical,low
1198,0.1,0.91,6,287,4,0,1,0,technical,low
1199,0.1,0.89,7,285,4,0,1,0,technical,low
1200,0.77,0.94,5,226,6,0,1,0,support,low
1201,0.9,0.82,5,259,5,0,1,0,support,low
1202,0.39,0.5,2,135,3,0,1,0,support,low
1203,0.76,1,5,219,5,0,1,0,support,low
1204,0.1,0.93,6,256,4,0,1,0,support,low
1205,0.87,0.9,5,254,6,0,1,0,support,low
1206,0.38,0.5,2,153,3,0,1,0,support,low
1207,0.77,0.99,5,228,5,0,1,0,support,low
1208,0.78,0.87,4,228,5,0,1,0,support,low
1209,0.44,0.5,2,128,3,0,1,0,support,low
1210,0.38,0.52,2,153,3,0,1,0,support,low
1211,0.43,0.46,2,156,3,0,1,0,technical,low
1212,0.39,0.5,4,294,3,0,1,0,technical,low
1213,0.88,1,5,219,5,0,1,0,technical,low
1214,0.45,0.46,2,153,3,0,1,0,management,low
1215,0.4,0.53,2,151,3,0,1,0,IT,low
1216,0.36,0.51,2,155,3,0,1,0,IT,low
1217,0.36,0.48,2,158,3,0,1,0,IT,low
1218,0.9,0.98,5,245,5,0,1,0,IT,low
1219,0.43,0.53,2,131,3,0,1,0,IT,low
1220,0.89,0.87,5,225,5,0,1,0,product_mng,low
1221,0.1,0.84,6,286,4,0,1,0,product_mng,low
1222,0.37,0.5,2,135,3,0,1,0,product_mng,low
1223,0.37,0.51,2,153,3,0,1,0,product_mng,low
1224,0.87,0.9,5,252,5,0,1,0,IT,low
1225,0.4,0.56,2,149,3,0,1,0,accounting,low
1226,0.9,0.97,4,258,5,0,1,0,accounting,low
1227,0.37,0.46,2,158,3,0,1,0,hr,low
1228,0.44,0.54,2,149,3,0,1,0,hr,low
1229,0.85,0.95,5,236,5,0,1,0,hr,low
1230,0.78,0.98,5,239,6,0,1,0,marketing,low
1231,0.42,0.47,2,159,3,0,1,0,marketing,low
1232,0.92,0.99,5,255,6,0,1,0,sales,low
1233,0.11,0.83,6,244,4,0,1,0,accounting,low
1234,0.42,0.56,2,134,3,0,1,0,support,low
1235,0.48,0.57,4,270,4,0,1,0,technical,low
1236,0.83,0.85,4,255,5,0,1,0,management,low
1237,0.4,0.53,2,151,3,0,1,0,marketing,low
1238,0.43,0.45,2,135,3,0,1,0,marketing,low
1239,0.43,0.53,2,146,3,0,1,0,marketing,low
1240,0.1,0.97,7,254,4,0,1,0,sales,low
1241,0.1,0.87,7,289,4,0,1,0,sales,low
1242,0.37,0.46,2,156,3,0,1,0,sales,low
1243,0.38,0.53,2,156,3,0,1,0,sales,low
1244,0.4,0.5,2,128,3,0,1,0,sales,low
1245,0.89,0.86,5,275,5,0,1,0,sales,low
1246,0.45,0.46,2,155,3,0,1,0,sales,low
1247,0.37,0.48,2,159,3,0,1,0,sales,low
1248,0.46,0.49,2,148,3,0,1,0,sales,low
1249,0.87,0.91,4,228,5,0,1,0,sales,low
1250,0.11,0.84,6,298,4,0,1,0,sales,low
1251,0.79,0.87,5,261,5,0,1,0,sales,low
1252,0.79,0.92,5,254,6,0,1,0,sales,low
1253,0.19,0.59,7,192,3,0,1,0,sales,low
1254,0.87,0.98,4,248,5,0,1,0,sales,low
1255,0.6,0.92,2,258,5,0,1,0,sales,low
1256,0.44,0.45,2,156,3,0,1,0,sales,medium
1257,0.11,0.81,6,266,4,1,1,0,sales,medium
1258,0.42,0.54,2,156,3,0,1,0,sales,medium
1259,0.88,0.88,5,232,5,1,1,0,accounting,medium
1260,0.11,0.84,6,287,4,0,1,0,accounting,medium
1261,0.46,0.46,2,154,3,0,1,0,accounting,medium
1262,0.82,0.97,5,263,5,0,1,0,hr,medium
1263,0.44,0.56,2,131,3,0,1,0,hr,medium
1264,0.11,0.78,6,260,4,0,1,0,hr,medium
1265,0.42,0.5,2,139,3,0,1,0,hr,medium
1266,0.84,0.93,4,251,5,0,1,0,technical,medium
1267,0.11,0.95,6,286,4,0,1,0,technical,medium
1268,0.45,0.53,2,129,3,0,1,0,technical,high
1269,0.38,0.56,2,156,3,0,1,0,technical,low
1270,0.38,0.86,6,139,6,0,1,0,technical,medium
1271,0.44,0.51,2,127,3,0,1,0,technical,medium
1272,0.11,0.84,6,251,4,0,1,0,technical,medium
1273,0.81,0.93,5,270,5,0,1,0,technical,medium
1274,0.09,0.96,6,296,4,0,1,0,technical,low
1275,0.11,0.9,6,254,4,0,1,0,technical,low
1276,0.81,0.95,5,238,6,0,1,0,technical,low
1277,0.1,0.97,6,267,4,1,1,0,support,low
1278,0.74,0.89,5,229,6,0,1,0,support,low
1279,0.09,0.78,6,254,4,0,1,0,support,low
1280,0.82,0.81,4,233,4,1,1,0,support,low
1281,0.1,0.98,6,268,4,0,1,0,support,low
1282,0.27,0.56,3,301,3,0,1,0,support,low
1283,0.83,0.92,5,267,6,0,1,0,support,low
1284,0.1,0.93,6,289,4,1,1,0,support,low
1285,0.38,0.47,2,144,3,0,1,0,support,low
1286,0.4,0.56,2,148,3,0,1,0,support,low
1287,0.11,0.83,6,306,4,0,1,0,support,low
1288,0.11,0.79,6,292,4,0,1,1,technical,low
1289,0.82,0.91,5,232,5,0,1,0,technical,low
1290,0.36,0.48,2,137,3,0,1,0,technical,low
1291,0.4,0.46,2,128,3,0,1,0,management,low
1292,0.87,0.84,5,231,5,0,1,0,IT,low
1293,0.41,0.49,2,146,3,0,1,0,IT,low
1294,0.11,0.91,6,308,4,1,1,0,IT,low
1295,0.1,0.93,6,253,4,0,1,0,IT,medium
1296,0.38,0.51,2,146,3,0,1,0,IT,medium
1297,0.39,0.55,2,156,3,0,1,0,product_mng,medium
1298,0.4,0.52,2,147,3,0,1,0,product_mng,medium
1299,0.45,0.48,2,136,3,0,1,0,product_mng,medium
1300,0.74,0.84,5,249,5,0,1,0,product_mng,medium
1301,0.45,0.55,2,151,3,0,1,0,IT,medium
1302,0.12,1,3,278,4,0,1,0,RandD,medium
1303,0.1,0.77,7,250,5,0,1,0,RandD,medium
1304,0.37,0.55,2,127,3,0,1,0,RandD,medium
1305,0.89,0.87,5,255,5,0,1,0,RandD,medium
1306,0.45,0.47,2,135,3,0,1,0,RandD,medium
1307,0.37,0.46,2,149,3,0,1,0,marketing,high
1308,0.11,0.81,5,287,4,0,1,0,sales,low
1309,0.41,0.48,2,145,3,0,1,0,accounting,medium
1310,0.1,0.94,6,285,4,0,1,0,support,medium
1311,0.1,0.93,7,305,4,0,1,0,technical,medium
1312,0.11,0.95,7,300,4,0,1,0,management,medium
1313,0.4,0.54,2,139,3,0,1,0,marketing,low
1314,0.41,0.49,2,130,3,0,1,0,marketing,low
1315,0.1,0.81,6,268,4,0,1,0,marketing,low
1316,0.73,0.86,4,245,6,0,1,0,sales,low
1317,0.43,0.47,2,135,3,0,1,0,sales,low
1318,0.37,0.46,2,153,3,0,1,0,sales,low
1319,0.11,0.94,6,276,4,0,1,0,sales,low
1320,0.4,0.46,2,130,3,0,1,0,sales,low
1321,0.41,0.54,2,153,3,1,1,0,sales,low
1322,0.82,0.84,5,244,5,0,1,0,sales,low
1323,0.61,0.47,2,253,3,0,1,0,sales,low
1324,0.11,0.91,7,287,4,0,1,0,sales,low
1325,0.37,0.45,2,131,3,0,1,0,sales,low
1326,0.41,0.52,2,135,3,0,1,0,sales,low
1327,0.37,0.52,2,157,3,0,1,0,sales,low
1328,0.88,0.99,5,262,6,0,1,0,sales,low
1329,0.1,0.85,6,266,4,0,1,0,sales,low
1330,0.44,0.48,2,148,3,0,1,0,sales,low
1331,0.38,0.57,2,140,3,0,1,0,sales,low
1332,0.11,0.85,7,302,4,0,1,0,sales,low
1333,0.09,0.98,6,271,4,0,1,0,sales,low
1334,0.45,0.52,2,145,3,0,1,0,sales,medium
1335,0.1,0.81,6,290,4,0,1,0,accounting,medium
1336,0.45,0.47,2,151,3,0,1,0,accounting,medium
1337,0.77,0.87,5,266,5,0,1,0,accounting,medium
1338,0.44,0.51,2,140,3,0,1,0,hr,medium
1339,0.39,0.5,2,142,3,0,1,0,hr,medium
1340,0.1,0.91,6,246,4,0,1,0,hr,medium
1341,0.09,0.89,7,308,5,0,1,0,hr,medium
1342,0.37,0.47,2,141,3,0,1,0,technical,medium
1343,0.9,1,5,232,5,0,1,0,technical,medium
1344,0.41,0.56,2,143,3,0,1,0,technical,medium
1345,0.37,0.52,2,155,3,0,1,0,technical,medium
1346,0.1,0.86,6,278,4,0,1,0,technical,high
1347,0.81,1,4,253,5,0,1,0,technical,low
1348,0.11,0.8,6,282,4,0,1,0,technical,medium
1349,0.11,0.84,7,264,4,0,1,0,technical,medium
1350,0.4,0.46,2,149,3,0,1,0,technical,medium
1351,0.09,0.8,6,304,5,0,1,0,technical,medium
1352,0.48,0.93,3,219,6,0,1,0,technical,low
1353,0.91,0.91,4,262,6,0,1,0,support,low
1354,0.43,0.57,2,135,3,0,1,0,support,low
1355,0.33,0.88,6,219,5,0,1,0,support,low
1356,0.41,0.57,2,136,3,0,1,0,support,low
1357,0.41,0.55,2,154,3,0,1,0,support,low
1358,0.37,0.54,2,149,3,0,1,0,support,low
1359,0.31,0.62,6,135,5,0,1,0,support,low
1360,0.09,0.91,6,275,4,0,1,0,support,low
1361,0.1,0.87,6,290,4,0,1,0,support,low
1362,0.76,0.9,4,263,5,0,1,0,support,low
1363,0.41,0.54,2,145,3,0,1,0,support,low
1364,0.72,0.96,5,267,5,0,1,0,technical,low
1365,0.4,0.5,2,141,3,1,1,0,technical,low
1366,0.91,0.87,4,235,5,0,1,0,technical,low
1367,0.1,0.83,6,258,4,0,1,0,management,low
1368,0.4,0.56,2,131,3,0,1,0,IT,low
1369,0.82,0.86,5,243,5,0,1,0,IT,low
1370,0.1,0.82,6,266,4,0,1,0,IT,low
1371,0.37,0.45,2,142,3,0,1,0,IT,low
1372,0.36,0.51,2,135,3,0,1,0,IT,low
1373,0.39,0.48,2,141,3,0,1,0,product_mng,medium
1374,0.36,0.57,2,142,3,0,1,0,product_mng,medium
1375,0.86,0.84,5,254,5,0,1,0,product_mng,medium
1376,0.73,0.99,5,262,5,0,1,0,product_mng,medium
1377,0.56,0.71,4,296,2,0,1,0,IT,medium
1378,0.44,0.56,2,158,3,0,1,0,accounting,medium
1379,0.31,0.56,4,238,2,0,1,0,accounting,medium
1380,0.77,0.93,4,231,5,0,1,0,hr,medium
1381,0.44,0.45,2,156,3,0,1,0,hr,medium
1382,0.38,0.46,2,145,3,0,1,0,hr,medium
1383,0.45,0.48,2,144,3,0,1,0,marketing,medium
1384,0.38,0.51,2,159,3,0,1,0,sales,medium
1385,0.36,0.48,2,156,3,0,1,0,accounting,high
1386,0.75,0.9,5,256,5,0,1,0,support,low
1387,0.1,0.93,6,298,4,0,1,0,technical,medium
1388,0.1,0.97,6,247,4,0,1,0,management,medium
1389,0.45,0.5,2,157,3,0,1,0,marketing,medium
1390,0.42,0.57,2,154,3,1,1,0,marketing,medium
1391,0.78,1,4,253,5,0,1,0,marketing,low
1392,0.45,0.55,2,148,3,0,1,0,sales,low
1393,0.84,1,4,261,5,0,1,0,sales,low
1394,0.11,0.93,6,282,4,0,1,0,sales,low
1395,0.42,0.56,2,133,3,0,1,0,sales,low
1396,0.45,0.46,2,128,3,0,1,0,sales,low
1397,0.46,0.57,2,139,3,0,1,0,sales,low
1398,0.09,0.79,6,293,5,0,1,0,sales,low
1399,0.87,0.83,4,265,6,0,1,0,sales,low
1400,0.1,0.87,6,250,4,0,1,0,sales,low
1401,0.91,1,5,251,6,0,1,0,sales,low
1402,0.76,0.92,4,246,5,0,1,0,sales,low
1403,0.74,1,5,275,5,0,1,0,sales,low
1404,0.92,0.93,5,240,5,0,1,0,sales,low
1405,0.76,0.87,5,245,5,0,1,0,sales,low
1406,0.47,0.5,4,254,4,0,1,0,sales,low
1407,0.73,0.99,5,241,5,0,1,0,sales,low
1408,0.09,0.94,6,257,4,0,1,0,sales,low
1409,0.91,0.92,4,246,5,0,1,0,sales,low
1410,0.82,0.98,4,233,5,0,1,0,sales,low
1411,0.28,0.45,6,218,4,0,1,0,accounting,low
1412,0.84,0.99,4,262,6,0,1,0,accounting,medium
1413,0.45,0.53,2,138,3,0,1,0,accounting,medium
1414,0.45,0.54,2,142,3,0,1,0,hr,medium
1415,0.91,0.97,5,233,5,0,1,0,hr,medium
1416,0.42,0.48,2,155,3,0,1,0,hr,medium
1417,0.82,1,4,229,6,0,1,0,hr,medium
1418,0.11,0.9,6,264,4,0,1,0,technical,medium
1419,0.42,0.53,3,199,4,0,1,0,technical,medium
1420,0.82,0.85,4,223,5,0,1,0,technical,medium
1421,0.09,0.96,6,268,4,0,1,0,technical,medium
1422,0.1,0.94,6,287,4,0,1,0,technical,medium
1423,0.86,1,5,257,5,0,1,0,technical,medium
1424,0.4,0.46,2,143,3,0,1,0,technical,high
1425,0.45,0.46,2,130,3,0,1,0,technical,low
1426,0.42,0.51,2,136,3,0,1,0,technical,medium
1427,0.74,0.92,4,261,5,0,1,0,technical,medium
1428,0.55,0.6,3,180,4,0,1,0,technical,medium
1429,0.37,0.45,2,126,3,0,1,0,support,medium
1430,0.41,0.52,2,127,3,1,1,0,support,low
1431,0.89,0.65,5,195,6,0,1,0,support,low
1432,0.41,0.57,2,160,3,0,1,0,support,low
1433,0.44,0.51,2,150,3,0,1,0,support,low
1434,0.87,0.84,4,264,6,0,1,0,support,low
1435,0.1,0.84,6,309,4,0,1,0,support,low
1436,0.41,0.47,2,135,3,0,1,0,support,low
1437,0.11,0.85,6,261,4,0,1,0,support,low
1438,0.43,0.53,2,160,3,0,1,0,support,low
1439,0.77,0.9,4,237,5,0,1,0,support,low
1440,0.41,0.52,2,136,3,0,1,0,technical,low
1441,0.41,0.48,2,139,3,0,1,0,technical,low
1442,0.36,0.78,2,151,4,0,1,0,technical,low
1443,0.77,1,5,229,5,0,1,0,management,low
1444,0.81,0.98,5,245,5,0,1,0,IT,low
1445,0.39,0.54,2,127,3,0,1,0,IT,low
1446,0.09,0.94,6,283,5,0,1,0,IT,low
1447,0.44,0.46,2,143,3,0,1,0,IT,low
1448,0.1,0.84,5,298,4,0,1,0,IT,low
1449,0.36,0.48,2,159,3,0,1,0,product_mng,low
1450,0.81,0.92,5,239,5,0,1,0,product_mng,low
1451,0.81,0.9,4,226,5,0,1,0,product_mng,medium
1452,0.85,0.98,5,248,5,0,1,0,product_mng,medium
1453,0.1,0.87,6,286,4,0,1,0,IT,medium
1454,0.37,0.54,2,145,3,0,1,0,RandD,medium
1455,0.09,0.97,7,254,4,1,1,0,RandD,medium
1456,0.44,0.53,2,127,3,0,1,0,RandD,medium
1457,0.86,0.93,5,223,5,0,1,0,RandD,medium
1458,0.77,1,4,255,5,0,1,0,RandD,medium
1459,0.41,0.48,2,136,3,0,1,0,marketing,medium
1460,0.4,0.48,2,137,3,0,1,0,sales,medium
1461,0.43,0.49,2,135,3,0,1,0,accounting,medium
1462,0.43,0.5,2,137,3,0,1,0,support,medium
1463,0.8,0.53,3,255,5,0,1,0,technical,high
1464,0.8,0.85,4,273,5,0,1,0,management,low
1465,0.82,0.98,5,234,5,0,1,0,marketing,medium
1466,0.37,0.54,2,152,3,0,1,0,marketing,medium
1467,0.37,0.48,2,134,3,0,1,0,marketing,medium
1468,0.09,0.95,6,292,4,0,1,0,sales,medium
1469,0.9,0.92,5,245,5,0,1,0,sales,low
1470,0.41,0.52,2,159,3,0,1,0,sales,low
1471,0.1,0.85,6,260,4,0,1,0,sales,low
1472,0.44,0.53,2,149,3,0,1,0,sales,low
1473,0.89,0.85,5,266,5,0,1,0,sales,low
1474,0.42,0.56,2,149,3,0,1,0,sales,low
1475,0.87,1,5,242,5,0,1,0,sales,low
1476,0.45,0.57,2,134,3,0,1,0,sales,low
1477,0.11,0.87,5,271,4,0,1,0,sales,low
1478,0.09,0.79,6,275,4,0,1,0,sales,low
1479,0.76,0.83,5,227,5,0,1,0,sales,low
1480,0.11,0.96,7,277,5,0,1,0,sales,low
1481,0.37,0.49,2,151,3,0,1,0,sales,low
1482,0.1,0.79,6,274,4,0,1,0,sales,low
1483,0.77,0.87,4,242,6,0,1,0,sales,low
1484,0.42,0.54,2,143,3,1,1,0,sales,low
1485,0.38,0.52,2,145,3,0,1,0,sales,low
1486,0.32,0.95,5,172,2,0,1,0,sales,low
1487,0.38,0.49,2,135,3,0,1,0,accounting,low
1488,0.19,1,4,192,4,0,1,0,accounting,low
1489,0.1,0.83,7,276,4,0,1,0,accounting,low
1490,0.76,0.88,4,206,4,0,1,0,hr,medium
